question,answer
مواعيد العمل,"أهلًا بك، مواعيد العمل من الأحد إلى الخميس من الساعة ٧:٣٠ صباحًا حتى ٢:٣٠ مساءً .تسعدنا خدمتكم"
الشائعات,"أهلاً بك، في حال وجود أي إعلانات رسمية من المديرية العامة للجوازات، سيتم الإعلان عنها عبر القنوات الرسمية. نسعد بتواصلك"
شكر عام,نسعد ونتشرف لتقديم خدماتنا لجميع المواطنين والمقيمين في المملكة
اعتذار,"أهلًا بك. نسعد بتواصلك، نعتذر منك ونؤكد لك بأن هدفنا تقديم افضل خدمة لكم، وسيتم رفع ملاحظتكم للقسم المختص فورا لتتم معالجتها في اسرع وقت."
الإقامة المميزة,"مركز الإقامة المميزة، هو الجهة الوحيدة المختصة بتنظيم وإدارة كل ما يتعلق بنظام الإقامة المميزة. نسعد بتواصلك"
خدمة الرسائل والطلبات عبر أبشر,"أهلا بك، يرجى توثيق الملاحظة، وإرسالها من خلال خدمة الرسائل والطلبات المتاحة في منصة أبشر لنتمكن من خدمتك حفاظًا على سلامتكم . سعدنا بتواصلك https://twitter.com/AljawazatKSA/status/1251918496075780097?s=20"
خدمة الرسائل والطلبات عبر أبشر,"أهلاً بك، حفاظاً على سلامتك يمكنك الاستفادة من خدمة الرسائل والطلبات من خلال حسابك في منصة أبشر لنتمكن من معالجة طلبك https://twitter.com/AljawazatKSA/status/1251918496075780097?s=20 . سعدنا بتواصلك"
خدمة الرسائل والطلبات عبر أبشر,"أهلا بك، يرجى التواصل من خلال خدمة "" الرسائل والطلبات "" عبر منصة أبشر للخدمات الإلكترونية لنتمكن من إفادتك https://twitter.com/AljawazatKSA/status/1251918496075780097?s=20 . سعدنا بتواصلك"
خدمة الرسائل والطلبات عبر أبشر,"مرحبا، عزيزي يمكنك رفع ملاحظتك عبر منصة أبشر الخاصة بك ليتم معالجتها ، إليك الرابط المرفق للإفادة. نتطلع لخدمتك https://twitter.com/AljawazatKSA/status/1251918496075780097?s=20"
خدمة تواصل عبر منصة مقيم,"مرحبا، يمكنك تنفيذ ذلك عبر خدمة (تواصل) بعد الدخول إلى حساب الشركة على بوابة مقيم الإلكترونية، يرجى الإطلاع على الرابط المرفق للإفادة https://twitter.com/aljawazatksa/status/1359441986990706688?s=24. شكراً لك"
حجز موعد,"أهلًا بك ، يمكنك حجز موعد ومراجعة إدارة الجوازات لنتمكن من خدمتك إليك الرابط المرفق للإفادة https://twitter.com/aljawazatksa/status/1270060599960129538?s=12 ، نسعد بخدمتكم"
جاري العمل,"مرحبًا بك، عزيزي يرجى الانتظار وجاري العمل على طلبك وسوف يتم التواصل معك في أقرب وقت ممكن. شكرًا لك"
